bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range
N/A,"Fri, Sat, Sun",Cocktail Bars,No,No,The Ship,SoHo,No,N/A,(212) 219-8496,Yes,No,Yes,Yes,246,4,$$
N/A,N/A,Cocktail Bars,No,No,The Polynesian,"Midtown West, Hell's Kitchen",Yes,N/A,(212) 254-3000,No,No,Yes,Yes,158,3.5,$$
N/A,"Thu, Fri, Sat",Whiskey Bars,No,Yes,Whiskey Tavern,Chinatown,No,Street,(212) 374-9119,Yes,Yes,N/A,Yes,725,4.5,$$
N/A,N/A,Cocktail Bars,N/A,Yes,Bar Alaska,Lower East Side,N/A,N/A,(646) 649-5545,Yes,N/A,N/A,Yes,15,5,$$
Casual,N/A,Pubs,No,N/A,Caledonia Bar,"Yorkville, Upper East Side",No,Street,(212) 734-4300,No,Yes,N/A,Yes,226,4.5,$$
Dressy,N/A,Cafes,N/A,No,Bar Pleiades,Upper East Side,No,Street,(212) 772-2600,Yes,No,N/A,Yes,78,4.5,$$$
N/A,N/A,Cocktail Bars,No,N/A,Old Man Hustle,Lower East Side,No,Street,(212) 253-7747,No,Yes,N/A,Yes,146,4.5,$
N/A,N/A,Cocktail Bars,No,No,Trouble’s Trust,Midtown East,No,N/A,(212) 888-7000,No,No,N/A,Yes,26,4,$$$
N/A,"Thu, Fri, Sat",Bars,Yes,Yes,Harlem Nights Bar,Harlem,Yes,Street,(646) 820-4603,No,Yes,Yes,Yes,134,4,$$
Casual,N/A,Cafes,No,Yes,Avocado Appétit,Lower East Side,No,Street,(917) 388-3675,No,No,No,Yes,148,4.5,$$
N/A,Fri,Irish Pub,No,Yes,Walter’s Cottage,"Hell's Kitchen, Midtown West",No,N/A,(917) 675-6882,No,Yes,N/A,Yes,54,4.5,$$
Casual,"Tue, Thu, Fri",Bars,No,Yes,Treadwell Park,Upper East Side,Yes,"Garage, Street",(212) 832-1551,No,Yes,No,Yes,315,4,$$
N/A,"Thu, Fri, Sat",Bars,N/A,N/A,Local 138,Lower East Side,No,Street,(212) 477-0280,Yes,Yes,N/A,Yes,239,4,$
N/A,"Wed, Thu, Sat",Pubs,N/A,Yes,The Four-Faced Liar,West Village,No,Street,(212) 206-8959,No,Yes,N/A,Yes,207,4,$
N/A,"Wed, Thu, Fri",Cocktail Bars,No,No,Winnie’s Jazz Bar,Midtown West,No,N/A,(212) 729-0277,Yes,No,Yes,Yes,45,4.5,$$$
Casual,Fri,American (New),Yes,Yes,The Flower Shop,Lower East Side,No,Street,(212) 257-4072,Yes,Yes,N/A,Yes,80,4,$$
