bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range,6-number_stars,popl index,pop_index2,,,,,,,,,0
N/A,"Fri, Sat, Sun",Cocktail Bars,No,No,The Ship,SoHo,No,N/A,(212) 219-8496,Yes,No,Yes,Yes,246,4,$$,2,123,984,,,,,,,,,
N/A,N/A,Cocktail Bars,No,No,The Polynesian,"Midtown West, Hell's Kitchen",Yes,N/A,(212) 254-3000,No,No,Yes,Yes,158,3.5,$$,2.5,63.2,553,,,,,,,,,
N/A,"Thu, Fri, Sat",Whiskey Bars,No,Yes,Whiskey Tavern,Chinatown,No,Street,(212) 374-9119,Yes,Yes,N/A,Yes,725,4.5,$$,1.5,483.3333333,3262.5,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,Yes,Bar Alaska,Lower East Side,N/A,N/A,(646) 649-5545,Yes,N/A,N/A,Yes,15,5,$$,1,15,75,,,,,,,,,
Casual,N/A,Pubs,No,N/A,Caledonia Bar,"Yorkville, Upper East Side",No,Street,(212) 734-4300,No,Yes,N/A,Yes,226,4.5,$$,1.5,150.6666667,1017,,,,,,,,,
Dressy,N/A,Cafes,N/A,No,Bar Pleiades,Upper East Side,No,Street,(212) 772-2600,Yes,No,N/A,Yes,78,4.5,$$$,1.5,52,351,,,,,,,,,
N/A,N/A,Cocktail Bars,No,N/A,Old Man Hustle,Lower East Side,No,Street,(212) 253-7747,No,Yes,N/A,Yes,146,4.5,$,1.5,97.33333333,657,,,,,,,,,
N/A,N/A,Cocktail Bars,No,No,Trouble’s Trust,Midtown East,No,N/A,(212) 888-7000,No,No,N/A,Yes,26,4,$$$,2,13,104,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,Yes,Yes,Harlem Nights Bar,Harlem,Yes,Street,(646) 820-4603,No,Yes,Yes,Yes,134,4,$$,2,67,536,,,,,,,,,
Casual,N/A,Cafes,No,Yes,Avocado Appétit,Lower East Side,No,Street,(917) 388-3675,No,No,No,Yes,148,4.5,$$,1.5,98.66666667,666,,,,,,,,,
N/A,Fri,Irish Pub,No,Yes,Walter’s Cottage,"Hell's Kitchen, Midtown West",No,N/A,(917) 675-6882,No,Yes,N/A,Yes,54,4.5,$$,1.5,36,243,,,,,,,,,
Casual,"Tue, Thu, Fri",Bars,No,Yes,Treadwell Park,Upper East Side,Yes,"Garage, Street",(212) 832-1551,No,Yes,No,Yes,315,4,$$,2,157.5,1260,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,N/A,N/A,Local 138,Lower East Side,No,Street,(212) 477-0280,Yes,Yes,N/A,Yes,239,4,$,2,119.5,956,,,,,,,,,
N/A,"Wed, Thu, Sat",Pubs,N/A,Yes,The Four-Faced Liar,West Village,No,Street,(212) 206-8959,No,Yes,N/A,Yes,207,4,$,2,103.5,828,,,,,,,,,
N/A,"Wed, Thu, Fri",Cocktail Bars,No,No,Winnie’s Jazz Bar,Midtown West,No,N/A,(212) 729-0277,Yes,No,Yes,Yes,45,4.5,$$$,1.5,30,202.5,,,,,,,,,
Casual,Fri,American (New),Yes,Yes,The Flower Shop,Lower East Side,No,Street,(212) 257-4072,Yes,Yes,N/A,Yes,80,4,$$,2,40,320,,,,,,,,,
Casual,"Thu, Fri, Sat",Dive Bars,Yes,N/A,Iron Horse NYC,Financial District,No,Street,(646) 546-5426,No,Yes,N/A,Yes,347,3.5,$,2.5,138.8,1214.5,,,,,,,,,
Casual,"Fri, Sat, Sun",Cuban,No,No,BlackTail,Battery Park,No,Street,(212) 785-0153,Yes,No,Yes,Yes,211,4.5,$$$,1.5,140.6666667,949.5,,,,,,,,,
Casual,N/A,Cocktail Bars,No,Yes,Gleason’s Tavern,"Midtown West, Theater District",No,N/A,(212) 302-2167,Yes,Yes,Yes,Yes,95,4,$$,2,47.5,380,,,,,,,,,
Casual,"Wed, Thu, Fri",Breakfast & Brunch,No,No,District M,"Midtown West, Theater District",No,Street,(212) 869-3600,No,Yes,Yes,Yes,58,4,$$,2,29,232,,,,,,,,,
